Category,Character,Gender,EN Voice ID,DE Voice ID,FR Voice ID,IT Voice ID,ES Voice ID
Style Tutors,Cleo,F,Siren,Enia,Koraly,Rita,Gabriela
Style Tutors,Jaxon,M,Jamal,Leon,Frederic,ImsA1Fn5TNc843fFdz99,Abel
Style Tutors,Nova,F,Serena,Ramona,Claire,Ginevra,Carolina
Style Tutors,Orion,M,Jon,Helmut,Jonathan,Orion,God
Style Tutors,Arthur,M,Pharao,Michael,Yann,MarcoTrox,David
Style Tutors,Dante,M,Drew,Thomas,Paul,Brando,Ludovico
Style Tutors,Elias,M,Andy,Wolf,Guillame,Chris,Salvatore
Style Tutors,Kael,M,Theo,ML23UVoFL5mI6APbRAeR,Martin,Gulio,Abuelo
Style Tutors,Briggs,M,Andy,NGvcmUPD43NnZx39Pe12,R89ZQJowZAEgiPNyC3dQ,Brando,YKrm0N1EAM9Bw27j8kuD
Style Tutors,Zoe,F,Serena,Irene,Anna,Marco,Gabi
Persona Characters,Marcus Aurelius,M,xkDz8dF9GIt1kG06c9Of,iMHt6G42evkXunaDU065,ViSNE020Z1wEV4uZomv5,JfznbVXrGXYh0gZo9Lcp,LnGOA2SxH2fX1e1iNzEp
Persona Characters,Nietzsche,M,ktrGUw7rURIQyMrQZqCu,t7N67yv6R8AKFjJI6K7I,f5ChBqjF2YtYo8iKr4UV,EOVAuWqgSZN2Oel78Psj,WEXRePkZGpmcFLvCOaB1
Persona Characters,Jesus,M,Xju4Klbc1r0SkckSAl5Q,QtXsTvuI72CiSlfxczvg,aJ8RRtqcgodjLrJKLb0K,MTgv1KRJpUnc34UMGTHK,8mBRP99B2Ng2QwsJMFQl
Persona Characters,Buddha,M,tTZ0TVc9Q1bbWngiduLK,2UgXc8Ykz3785pihgwYC,Jrq4GqCKqYpigdQsZRkP,YpCv81OHYUqjcik0cjn5,9TcPbUAhHnAV8mzFDAWU
Persona Characters,Socrates,M,7fbQ7yJuEo56rYjrYaEh,EQIVtVkE7IWwwaRgwyPi,5l4ttmr4SKNgi0HnOelT,JfjzwHPmCw6p6fdGVt4Y,orF2qy9215xjwqqxqsWW
